Model,Cost,Timestamp,Reasoning
"GPT-4o Mini",0.002175,"2025-12-08T07:29:10.634Z","Selected GPT-4o Mini (score: 0.95) for code_generation task. Cost: $0.0022, Quality: 0.85, Latency: 1000ms"
"GPT-4o Mini",0.0014999999999999998,"2025-12-08T07:29:10.634Z","Selected GPT-4o Mini (score: 0.95) for code_generation task. Cost: $0.0015, Quality: 0.85, Latency: 1000ms"
"GPT-4o Mini",0.000975,"2025-12-08T07:29:10.634Z","Selected GPT-4o Mini (score: 0.95) for debugging task. Cost: $0.0010, Quality: 0.85, Latency: 1000ms"
"GPT-4o Mini",0.001125,"2025-12-08T07:29:10.634Z","Selected GPT-4o Mini (score: 0.95) for documentation task. Cost: $0.0011, Quality: 0.85, Latency: 1000ms"
"GPT-4o Mini",0.0014249999999999998,"2025-12-08T07:29:10.634Z","Selected GPT-4o Mini (score: 0.95) for code_generation task. Cost: $0.0014, Quality: 0.85, Latency: 1000ms"
"Gemini Pro",0.016875,"2025-12-08T07:29:10.634Z","Selected Gemini Pro (score: 0.95) for refactoring task. Cost: $0.0169, Quality: 0.88, Latency: 1200ms"
"GPT-4o Mini",0.0013499999999999999,"2025-12-08T07:29:10.634Z","Selected GPT-4o Mini (score: 0.95) for documentation task. Cost: $0.0013, Quality: 0.85, Latency: 1000ms"
"GPT-4o Mini",0.0013499999999999999,"2025-12-08T07:29:10.634Z","Selected GPT-4o Mini (score: 0.95) for code_generation task. Cost: $0.0013, Quality: 0.85, Latency: 1000ms"
"GPT-4o Mini",0.0021,"2025-12-08T07:29:10.635Z","Selected GPT-4o Mini (score: 0.95) for code_generation task. Cost: $0.0021, Quality: 0.85, Latency: 1000ms"
"GPT-4o Mini",0.0014249999999999998,"2025-12-08T07:29:10.635Z","Selected GPT-4o Mini (score: 0.95) for debugging task. Cost: $0.0014, Quality: 0.85, Latency: 1000ms"
"GPT-4o Mini",0.0012,"2025-12-08T07:29:10.635Z","Selected GPT-4o Mini (score: 0.95) for code_generation task. Cost: $0.0012, Quality: 0.85, Latency: 1000ms"
"GPT-4o Mini",0.000975,"2025-12-08T07:29:10.635Z","Selected GPT-4o Mini (score: 0.95) for documentation task. Cost: $0.0010, Quality: 0.85, Latency: 1000ms"
"GPT-4o Mini",0.002175,"2025-12-08T07:29:10.635Z","Selected GPT-4o Mini (score: 0.95) for debugging task. Cost: $0.0022, Quality: 0.85, Latency: 1000ms"
